filename,changed,validation_status,
2U_formatted.json,FALSE,N/A,
3D Systems_formatted.json,FALSE,N/A,
84 Lumber_formatted.json,FALSE,N/A,
Aaa Club Alliance_formatted.json,TRUE,TRUE,
Aaon_formatted.json,TRUE,TRUE,
Aarp_formatted.json,FALSE,N/A,
Abb Con-Cise Optical Group_formatted.json,FALSE,N/A,
"Abiliti, Inc._formatted.json",FALSE,Error,
Academy Sports + Outdoors_formatted.json,FALSE,N/A,
ActiveComply_formatted.json,FALSE,Error,
"Actsoft, Inc._formatted.json",FALSE,Error,
Acuity Brands_formatted.json,FALSE,N/A,
Adams Resources & Energy_formatted.json,FALSE,N/A,
Adapthealth_formatted.json,FALSE,N/A,
ADT_formatted.json,TRUE,TRUE,
Advance Auto Parts_formatted.json,FALSE,N/A,
Advantage Solutions_formatted.json,FALSE,N/A,
Adventhealth_formatted.json,TRUE,TRUE,
Aecom_formatted.json,FALSE,N/A,
Affiliated Managers Group_formatted.json,FALSE,N/A,
Ag Processing_formatted.json,FALSE,N/A,
Agco_formatted.json,FALSE,N/A,
Agfirst Farm Credit Bank_formatted.json,FALSE,N/A,
Air Products and Chemicals_formatted.json,FALSE,N/A,
Akumin_formatted.json,TRUE,TRUE,
Alarm.com Holdings_formatted.json,FALSE,N/A,
Albaugh_formatted.json,FALSE,N/A,
Albemarle_formatted.json,TRUE,TRUE,
Alberici_formatted.json,FALSE,N/A,
Alberta Milk_formatted.json,FALSE,Error,
Alcoa_formatted.json,FALSE,N/A,
Alfa Mutual Insurance_formatted.json,FALSE,N/A,
Aligned Data Centers_formatted.json,FALSE,N/A,
Alkami Technology_formatted.json,TRUE,TRUE,
Allan Myers_formatted.json,FALSE,N/A,
Allegheny Technologies_formatted.json,FALSE,N/A,
Allegis Group_formatted.json,TRUE,TRUE,
Alliance Resource Holdings_formatted.json,FALSE,N/A,
Alliant Energy_formatted.json,FALSE,N/A,
Altium Packaging_formatted.json,FALSE,N/A,
Amazon.com_formatted.json,TRUE,TRUE,
Ameren_formatted.json,FALSE,N/A,
American Airlines_formatted.json,TRUE,TRUE,
American Bath Group_formatted.json,FALSE,N/A,
American Campus Communities_formatted.json,FALSE,N/A,
American Cancer Society_formatted.json,FALSE,N/A,
American Electric Power_formatted.json,FALSE,N/A,
